virus_batch_number,virus_shortname,target_organism_name,target_organism_taxonomy_id,isolate_name,gisaid_id,nucleotide_db_id,pango_lineage,who_label,gisaid_clade,virus_sample_source,virus_sample_source_url,virus_source,virus_location,virus_sample_type,virus_sample_inactivation_method,virus_sample_formulation,virus_sample_concentration,virus_sample_concentration_unit,virus_sample_concentration_reference_gene,virus_sample_genome_equivalents,virus_sample_genome_equivalents_unit,virus_sample_genome_equivalents_reference_gene,virus_preinactivation_tcid50,virus_preinactivation_tcid50_unit,virus_sample_grow_cell_line
WA1-HTI-001,WA.1,SARS-CoV-2,2697049,hCoV-19/USA/WA1/2020,EPI_ISL_404895,MT576563.1,A,,S,UCSD,https://www.radxrad.org/,https://www.beiresources.org/,"Seattle, WA, USA",inactivated virus,heat,DMEM + 1% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,1.48E+10,copies/mL,N,4.90E+09,copies/mL,ORF1a,2.00E+07,TCID50/mL,Caco2
WA1-UVI-001,WA.1,SARS-CoV-2,2697049,hCoV-19/USA/WA1/2020,EPI_ISL_404895,MT576563.1,A,,S,UCSD,https://www.radxrad.org/,https://www.beiresources.org/,"Seattle, WA, USA",inactivated virus,UV,DMEM + 1% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 µg/ml Streptomycin,3.84E+08,copies/mL,N,9.00E+07,copies/mL,ORF1a,2.00E+07,TCID50/mL,Caco2
B.1.1.7-HTI-001,B.1.1.7,SARS-CoV-2,2697049,hCoV-19/USA/CA_UCSD_5574/2020,EPI_ISL_751801,OK244698.1,B.1.1.7,Alpha,"
GRY",UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,heat,DMEM + 3% FBS + 6mM HEPES + 50 units/ml Penicillin and 30 µg/ml Streptomycin,1.86E+10,copies/mL,N,1.52E+10,copies/mL,ORF1a,1.16E+06,TCID50/mL,TMPRSS2-VeroE6
B.1.1.7-UVI-001,B.1.1.7,SARS-CoV-2,2697049,hCoV-19/USA/CA_UCSD_5574/2020,EPI_ISL_751801,OK244698.1,B.1.1.7,Alpha,"
GRY",UCSD,https://www.radxrad.org/,UCSD Center for Advanced Laboratory Medicine,"San Diego, CA, USA",inactivated virus,UV,DMEM + 3% FBS + 6mM HEPES + 50 units/ml Penicillin and 30 µg/ml Streptomycin,9.72E+08,copies/mL,N,3.18E+08,copies/mL,ORF1a,1.16E+06,TCID50/mL,TMPRSS2-VeroE6
B.1.351-HTI-001,B.1.351,SARS-CoV-2,2697049,hCoV-19/South Africa/KRISP-K005325/2020,EPI_ISL_678615,OK091660.1|MW981442.1|MZ376663.1,B.1.351,Beta,GH,UCSD,https://www.radxrad.org/,https://www.beiresources.org/Catalog/animalviruses/NR-54009.aspx,"KwaZulu-Natal, South Africa",inactivated virus,heat,DMEM + 3% FBS + 6mM HEPES + 30 units/ml Penicillin and 30 µg/ml Streptomycin,4.52E+09,copies/mL,N,2.15E+09,copies/mL,ORF1a,3.56E+06,TCID50/mL,TMPRSS2-VeroE6
B.1.351-UVI-001,B.1.351,SARS-CoV-2,2697049,hCoV-19/South Africa/KRISP-K005325/2020,EPI_ISL_678615,OK091660.1|MW981442.1|MZ376663.1,B.1.351,Beta,GH,UCSD,https://www.radxrad.org/,https://www.beiresources.org/Catalog/animalviruses/NR-54009.aspx,"KwaZulu-Natal, South Africa",inactivated virus,UV,DMEM + 3% FBS + 6mM HEPES + 30 units/ml Penicillin and 30 µg/ml Streptomycin,5.54E+08,copies/mL,N,1.12E+08,copies/mL,ORF1a,3.56E+06,TCID50/mL,TMPRSS2-VeroE6
P1.HTI-001,P.1,SARS-CoV-2,2697049,hCoV-19/Japan/TY7-503/2021,EPI_ISL_877769,MZ345000.1,P.1,Gamma,GR/501Y.V3,UCSD,https://www.radxrad.org/,https://www.beiresources.org/Catalog/animalviruses/NR-54982.aspx,,inactivated virus,heat,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,3.80E+09,copies/mL,N,1.92E+09,copies/mL,ORF1a,6.32E+06,TCID50/mL,TMPRSS2-VeroE6
P1.UVI-001,P.1,SARS-CoV-2,2697049,hCoV-19/Japan/TY7-503/2021,EPI_ISL_877769,MZ345000.1,P.1,Gamma,GR/501Y.V3,UCSD,https://www.radxrad.org/,https://www.beiresources.org/Catalog/animalviruses/NR-54982.aspx,,inactivated virus,UV,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,1.36E+08,copies/mL,N,4.16E+07,copies/mL,ORF1a,6.32E+06,TCID50/mL,TMPRSS2-VeroE6
B.1.617.2-HTI-001,B.1.617.2,SARS-CoV-2,2697049,hCoV-19/USA/PHC658/2021,,,B.1.617.2,Delta,GK,UCSD,https://www.radxrad.org/,https://www.beiresources.org/Catalog/animalviruses/NR-55611.aspx,,inactivated virus,heat,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,8.42E+09,copies/mL,N,5.82E+09,copies/mL,ORF1a,8.75E+06,TCID50/mL,TMPRSS2-VeroE6
B.1.617.2-UVI-001,B.1.617.2,SARS-CoV-2,2697049,hCoV-19/USA/PHC658/2021,,,B.1.617.2,Delta,GK,UCSD,https://www.radxrad.org/,https://www.beiresources.org/Catalog/animalviruses/NR-55611.aspx,,inactivated virus,UV,DMEM + 3% FBS + 30 units/ml Penicillin and 30 µg/ml Streptomycin ,5.28E+08,copies/mL,N,1.98E+08,copies/mL,ORF1a,8.75E+06,TCID50/mL,TMPRSS2-VeroE6
